"filename", "language", "Python", "TOML", "Markdown", "MS SQL", "Ini", "comment", "blank", "total"
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\adapter\client_container.py", "Python", 257, 0, 0, 0, 0, 1, 21, 279
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\application_container.py", "Python", 81, 0, 0, 0, 0, 0, 15, 96
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\backtest\backtest_pipeline_container.py", "Python", 63, 0, 0, 0, 0, 0, 7, 70
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\backtest\data_prep_coordinator_container.py", "Python", 43, 0, 0, 0, 0, 1, 7, 51
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\backtest\portfolio_backtest_container.py", "Python", 149, 0, 0, 0, 0, 2, 14, 165
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\backtest\signal_backtest_container.py", "Python", 106, 0, 0, 0, 0, 1, 11, 118
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\factory_container.py", "Python", 63, 0, 0, 0, 0, 1, 10, 74
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\feature_engineering_container.py", "Python", 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\ledger_service_container.py", "Python", 69, 0, 0, 0, 0, 0, 10, 79
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\logger_container.py", "Python", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\repo\dao_container.py", "Python", 41, 0, 0, 0, 0, 1, 9, 51
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\repo\db_container.py", "Python", 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\repo\repo_container.py", "Python", 58, 0, 0, 0, 0, 1, 12, 71
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\stage_data_container.py", "Python", 74, 0, 0, 0, 0, 0, 11, 85
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\trading\market_session_container.py", "Python", 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\trading\order_generator_service_container.py", "Python", 101, 0, 0, 0, 0, 0, 14, 115
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\trading\registry_container.py", "Python", 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\sajit\AlgoRoyale\src\algo_royale\di\trading\trading_container.py", "Python", 86, 0, 0, 0, 0, 1, 12, 99
"c:\Users\sajit\AlgoRoyale\src\algo_royale\logging\custom_rotating_file_handler.py", "Python", 18, 0, 0, 0, 0, 6, 8, 32
"c:\Users\sajit\AlgoRoyale\src\algo_royale\logging\loggable.py", "Python", 37, 0, 0, 0, 0, 1, 15, 53
"c:\Users\sajit\AlgoRoyale\src\algo_royale\logging\logger_env.py", "Python", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\sajit\AlgoRoyale\src\algo_royale\logging\logger_factory.py", "Python", 41, 0, 0, 0, 0, 3, 15, 59
"c:\Users\sajit\AlgoRoyale\src\algo_royale\logging\logger_type.py", "Python", 128, 0, 0, 0, 0, 19, 24, 171
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_active_stock.py", "Python", 26, 0, 0, 0, 0, 42, 11, 79
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_auction.py", "Python", 48, 0, 0, 0, 0, 20, 16, 84
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_bar.py", "Python", 91, 0, 0, 0, 0, 68, 22, 181
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_condition_code.py", "Python", 16, 0, 0, 0, 0, 29, 12, 57
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_corporate_action.py", "Python", 59, 0, 0, 0, 0, 63, 19, 141
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_market_mover.py", "Python", 29, 0, 0, 0, 0, 65, 11, 105
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_news.py", "Python", 48, 0, 0, 0, 0, 107, 16, 171
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_quote.py", "Python", 44, 0, 0, 0, 0, 81, 12, 137
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_snapshot.py", "Python", 71, 0, 0, 0, 0, 64, 22, 157
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_stream_bar.py", "Python", 30, 0, 0, 0, 0, 25, 5, 60
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_stream_quote.py", "Python", 29, 0, 0, 0, 0, 24, 6, 59
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\alpaca_trade.py", "Python", 48, 0, 0, 0, 0, 56, 20, 124
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_market_data\enums.py", "Python", 44, 0, 0, 0, 0, 26, 12, 82
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_account.py", "Python", 169, 0, 0, 0, 0, 21, 18, 208
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_asset.py", "Python", 35, 0, 0, 0, 0, 37, 7, 79
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_calendar.py", "Python", 33, 0, 0, 0, 0, 26, 13, 72
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_clock.py", "Python", 17, 0, 0, 0, 0, 19, 6, 42
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_order.py", "Python", 124, 0, 0, 0, 0, 78, 40, 242
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_portfolio.py", "Python", 15, 0, 0, 0, 0, 21, 7, 43
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_position.py", "Python", 80, 0, 0, 0, 0, 43, 30, 153
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\alpaca_watchlist.py", "Python", 32, 0, 0, 0, 0, 27, 12, 71
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\enums\enums.py", "Python", 139, 0, 0, 0, 0, 294, 66, 499
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\enums\order_stream_event.py", "Python", 102, 0, 0, 0, 0, 35, 13, 150
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\alpaca_trading\order_stream_data.py", "Python", 19, 0, 0, 0, 0, 9, 7, 35
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\db\db_data_stream_session.py", "Python", 34, 0, 0, 0, 0, 33, 8, 75
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\db\db_enriched_data.py", "Python", 216, 0, 0, 0, 0, 62, 8, 286
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\db\db_order.py", "Python", 57, 0, 0, 0, 0, 38, 8, 103
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\db\db_position.py", "Python", 28, 0, 0, 0, 0, 16, 7, 51
"c:\Users\sajit\AlgoRoyale\src\algo_royale\models\db\db_trade.py", "Python", 55, 0, 0, 0, 0, 41, 8, 104
"c:\Users\sajit\AlgoRoyale\src\algo_royale\repo\data_stream_session_repo.py", "Python", 30, 0, 0, 0, 0, 24, 8, 62
"c:\Users\sajit\AlgoRoyale\src\algo_royale\repo\enriched_data_repo.py", "Python", 24, 0, 0, 0, 0, 15, 7, 46
"c:\Users\sajit\AlgoRoyale\src\algo_royale\repo\order_repo.py", "Python", 98, 0, 0, 0, 0, 52, 20, 170
"c:\Users\sajit\AlgoRoyale\src\algo_royale\repo\trade_repo.py", "Python", 72, 0, 0, 0, 0, 37, 15, 124
"c:\Users\sajit\AlgoRoyale\src\algo_royale\repo\watchlist_repo.py", "Python", 27, 0, 0, 0, 0, 4, 9, 40
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\indicator_routes.py", "Python", 57, 0, 0, 0, 0, 6, 12, 75
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\news_sentiment_routes.py", "Python", 45, 0, 0, 0, 0, 5, 12, 62
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\order_routes.py", "Python", 33, 0, 0, 0, 0, 4, 8, 45
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\position_routes.py", "Python", 13, 0, 0, 0, 0, 5, 6, 24
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\trade_routes.py", "Python", 25, 0, 0, 0, 0, 1, 9, 35
"c:\Users\sajit\AlgoRoyale\src\algo_royale\routes\trade_signal_routes.py", "Python", 14, 0, 0, 0, 0, 5, 8, 27
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\account_cash_service.py", "Python", 25, 0, 0, 0, 0, 4, 8, 37
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\clock_service.py", "Python", 76, 0, 0, 0, 0, 17, 14, 107
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\enriched_data_service.py", "Python", 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\ledger_service.py", "Python", 80, 0, 0, 0, 0, 7, 11, 98
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\market_session_service.py", "Python", 150, 0, 0, 0, 0, 18, 16, 184
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\order_event_service.py", "Python", 54, 0, 0, 0, 0, 4, 10, 68
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\order_generator_service.py", "Python", 103, 0, 0, 0, 0, 0, 11, 114
"c:\Users\sajit\AlgoRoyale\src\algo_royale\services\order_monitor_service.py", "Python", 126, 0, 0, 0, 0, 9, 16, 151
